"order_id";"product_code";"quantity";"unit_price";"order_date";"order_status";"product_line";"customer_name";"city";"country";"line_total_revenue"
10107;"S10_1678";30;95.7;"2003-02-24";"Shipped";"Motorcycles";"Land of Toys Inc.";"NYC";"USA";2871.0
10121;"S10_1678";34;81.34;"2003-05-07";"Shipped";"Motorcycles";"Reims Collectables";"Reims";"France";2765.56
10134;"S10_1678";41;94.74;"2003-07-01";"Shipped";"Motorcycles";"Lyon Souveniers";"Paris";"France";3884.34
10145;"S10_1678";45;83.26;"2003-08-25";"Shipped";"Motorcycles";"Toys4GrownUps.com";"Pasadena";"USA";3746.7
10159;"S10_1678";49;100.0;"2003-10-10";"Shipped";"Motorcycles";"Corporate Gift Ideas Co.";"San Francisco";"USA";4900.0
10168;"S10_1678";36;96.66;"2003-10-28";"Shipped";"Motorcycles";"Technics Stores Inc.";"Burlingame";"USA";3479.76
10180;"S10_1678";29;86.13;"2003-11-11";"Shipped";"Motorcycles";"Daedalus Designs Imports";"Lille";"France";2497.77
10188;"S10_1678";48;100.0;"2003-11-18";"Shipped";"Motorcycles";"Herkku Gifts";"Bergen";"Norway";4800.0
10201;"S10_1678";22;98.57;"2003-12-01";"Shipped";"Motorcycles";"Mini Wheels Co.";"San Francisco";"USA";2168.54
10211;"S10_1678";41;100.0;"2004-01-15";"Shipped";"Motorcycles";"Auto Canal Petit";"Paris";"France";4100.0
10223;"S10_1678";37;100.0;"2004-02-20";"Shipped";"Motorcycles";"Australian Collectors, Co.";"Melbourne";"Australia";3700.0
10237;"S10_1678";23;100.0;"2004-04-05";"Shipped";"Motorcycles";"Vitachrome Inc.";"NYC";"USA";2300.0
10251;"S10_1678";28;100.0;"2004-05-18";"Shipped";"Motorcycles";"Tekni Collectables Inc.";"Newark";"USA";2800.0
10263;"S10_1678";34;100.0;"2004-06-28";"Shipped";"Motorcycles";"Gift Depot Inc.";"Bridgewater";"USA";3400.0
10275;"S10_1678";45;92.83;"2004-07-23";"Shipped";"Motorcycles";"La Rochelle Gifts";"Nantes";"France";4177.35
10285;"S10_1678";36;100.0;"2004-08-27";"Shipped";"Motorcycles";"Marta's Replicas Co.";"Cambridge";"USA";3600.0
10299;"S10_1678";23;100.0;"2004-09-30";"Shipped";"Motorcycles";"Toys of Finland, Co.";"Helsinki";"Finland";2300.0
10309;"S10_1678";41;100.0;"2004-10-15";"Shipped";"Motorcycles";"Baane Mini Imports";"Stavern";"Norway";4100.0
10318;"S10_1678";46;94.74;"2004-11-02";"Shipped";"Motorcycles";"Diecast Classics Inc.";"Allentown";"USA";4358.04
10329;"S10_1678";42;100.0;"2004-11-15";"Shipped";"Motorcycles";"Land of Toys Inc.";"NYC";"USA";4200.0
10341;"S10_1678";41;100.0;"2004-11-24";"Shipped";"Motorcycles";"Salzburg Collectables";"Salzburg";"Austria";4100.0
10361;"S10_1678";20;72.55;"2004-12-17";"Shipped";"Motorcycles";"Souveniers And Things Co.";"Chatswood";"Australia";1451.0
10375;"S10_1678";21;34.9;"2005-02-03";"Shipped";"Motorcycles";"La Rochelle Gifts";"Nantes";"France";732.9
10388;"S10_1678";42;76.36;"2005-03-03";"Shipped";"Motorcycles";"FunGiftIdeas.com";"New Bedford";"USA";3207.12
10403;"S10_1678";24;100.0;"2005-04-08";"Shipped";"Motorcycles";"UK Collectables, Ltd.";"Liverpool";"UK";2400.0
10103;"S10_1949";26;100.0;"2003-01-29";"Shipped";"Classic Cars";"Baane Mini Imports";"Stavern";"Norway";2600.0
10112;"S10_1949";29;100.0;"2003-03-24";"Shipped";"Classic Cars";"Volvo Model Replicas, Co";"Lule";"Sweden";2900.0
10126;"S10_1949";38;100.0;"2003-05-28";"Shipped";"Classic Cars";"Corrida Auto Replicas, Ltd";"Madrid";"Spain";3800.0
10140;"S10_1949";37;100.0;"2003-07-24";"Shipped";"Classic Cars";"Technics Stores Inc.";"Burlingame";"USA";3700.0
10150;"S10_1949";45;100.0;"2003-09-19";"Shipped";"Classic Cars";"Dragon Souveniers, Ltd.";"Singapore";"Singapore";4500.0
10163;"S10_1949";21;100.0;"2003-10-20";"Shipped";"Classic Cars";"Classic Legends Inc.";"NYC";"USA";2100.0
10174;"S10_1949";34;100.0;"2003-11-06";"Shipped";"Classic Cars";"Australian Gift Network, Co";"South Brisbane";"Australia";3400.0
10183;"S10_1949";23;100.0;"2003-11-13";"Shipped";"Classic Cars";"Classic Gift Ideas, Inc";"Philadelphia";"USA";2300.0
10194;"S10_1949";42;100.0;"2003-11-25";"Shipped";"Classic Cars";"Saveley & Henriot, Co.";"Lyon";"France";4200.0
10206;"S10_1949";47;100.0;"2003-12-05";"Shipped";"Classic Cars";"Canadian Gift Exchange Network";"Vancouver";"Canada";4700.0
10215;"S10_1949";35;100.0;"2004-01-29";"Shipped";"Classic Cars";"West Coast Collectables Co.";"Burbank";"USA";3500.0
10228;"S10_1949";29;100.0;"2004-03-10";"Shipped";"Classic Cars";"Cambridge Collectables Co.";"Cambridge";"USA";2900.0
10245;"S10_1949";34;100.0;"2004-05-04";"Shipped";"Classic Cars";"Super Scale Inc.";"New Haven";"USA";3400.0
10258;"S10_1949";32;100.0;"2004-06-15";"Shipped";"Classic Cars";"Tokyo Collectables, Ltd";"Minato-ku";"Japan";3200.0
10270;"S10_1949";21;100.0;"2004-07-19";"Shipped";"Classic Cars";"Souveniers And Things Co.";"Chatswood";"Australia";2100.0
10280;"S10_1949";34;100.0;"2004-08-17";"Shipped";"Classic Cars";"Amica Models & Co.";"Torino";"Italy";3400.0
10291;"S10_1949";37;100.0;"2004-09-08";"Shipped";"Classic Cars";"Scandinavian Gift Ideas";"Boras";"Sweden";3700.0
10304;"S10_1949";47;100.0;"2004-10-11";"Shipped";"Classic Cars";"Auto Assoc. & Cie.";"Versailles";"France";4700.0
10312;"S10_1949";48;100.0;"2004-10-21";"Shipped";"Classic Cars";"Mini Gifts Distributors Ltd.";"San Rafael";"USA";4800.0
10322;"S10_1949";40;100.0;"2004-11-04";"Shipped";"Classic Cars";"Online Diecast Creations Co.";"Nashua";"USA";4000.0
10333;"S10_1949";26;100.0;"2004-11-18";"Shipped";"Classic Cars";"Mini Wheels Co.";"San Francisco";"USA";2600.0
10347;"S10_1949";30;100.0;"2004-11-29";"Shipped";"Classic Cars";"Australian Collectors, Co.";"Melbourne";"Australia";3000.0
10357;"S10_1949";32;100.0;"2004-12-10";"Shipped";"Classic Cars";"Mini Gifts Distributors Ltd.";"San Rafael";"USA";3200.0
10369;"S10_1949";41;100.0;"2005-01-20";"Shipped";"Classic Cars";"Collectables For Less Inc.";"Brickhaven";"USA";4100.0
10381;"S10_1949";36;100.0;"2005-02-17";"Shipped";"Classic Cars";"Corporate Gift Ideas Co.";"San Francisco";"USA";3600.0
10391;"S10_1949";24;100.0;"2005-03-09";"Shipped";"Classic Cars";"Anna's Decorations, Ltd";"North Sydney";"Australia";2400.0
10411;"S10_1949";23;100.0;"2005-05-01";"Shipped";"Classic Cars";"Quebec Home Shopping Network";"Montreal";"Canada";2300.0
10107;"S10_2016";39;99.91;"2003-02-24";"Shipped";"Motorcycles";"Land of Toys Inc.";"NYC";"USA";3896.49
10120;"S10_2016";29;96.34;"2003-04-29";"Shipped";"Motorcycles";"Australian Collectors, Co.";"Melbourne";"Australia";2793.86
10134;"S10_2016";27;100.0;"2003-07-01";"Shipped";"Motorcycles";"Lyon Souveniers";"Paris";"France";2700.0
10145;"S10_2016";37;100.0;"2003-08-25";"Shipped";"Motorcycles";"Toys4GrownUps.com";"Pasadena";"USA";3700.0
10159;"S10_2016";37;100.0;"2003-10-10";"Shipped";"Motorcycles";"Corporate Gift Ideas Co.";"San Francisco";"USA";3700.0
10168;"S10_2016";27;100.0;"2003-10-28";"Shipped";"Motorcycles";"Technics Stores Inc.";"Burlingame";"USA";2700.0
10180;"S10_2016";42;100.0;"2003-11-11";"Shipped";"Motorcycles";"Daedalus Designs Imports";"Lille";"France";4200.0
10188;"S10_2016";38;96.34;"2003-11-18";"Shipped";"Motorcycles";"Herkku Gifts";"Bergen";"Norway";3660.92
10201;"S10_2016";24;100.0;"2003-12-01";"Shipped";"Motorcycles";"Mini Wheels Co.";"San Francisco";"USA";2400.0
10210;"S10_2016";23;100.0;"2004-01-12";"Shipped";"Motorcycles";"Osaka Souveniers Co.";"Osaka";"Japan";2300.0
10223;"S10_2016";47;100.0;"2004-02-20";"Shipped";"Motorcycles";"Australian Collectors, Co.";"Melbourne";"Australia";4700.0
10236;"S10_2016";22;100.0;"2004-04-03";"Shipped";"Motorcycles";"Motor Mint Distributors Inc.";"Philadelphia";"USA";2200.0
10251;"S10_2016";44;100.0;"2004-05-18";"Shipped";"Motorcycles";"Tekni Collectables Inc.";"Newark";"USA";4400.0
10263;"S10_2016";40;100.0;"2004-06-28";"Shipped";"Motorcycles";"Gift Depot Inc.";"Bridgewater";"USA";4000.0
10275;"S10_2016";22;100.0;"2004-07-23";"Shipped";"Motorcycles";"La Rochelle Gifts";"Nantes";"France";2200.0
10285;"S10_2016";47;100.0;"2004-08-27";"Shipped";"Motorcycles";"Marta's Replicas Co.";"Cambridge";"USA";4700.0
10298;"S10_2016";39;96.34;"2004-09-27";"Shipped";"Motorcycles";"Atelier graphique";"Nantes";"France";3757.26
10308;"S10_2016";34;100.0;"2004-10-15";"Shipped";"Motorcycles";"Mini Classics";"White Plains";"USA";3400.0
10318;"S10_2016";45;100.0;"2004-11-02";"Shipped";"Motorcycles";"Diecast Classics Inc.";"Allentown";"USA";4500.0
